Input,Label
Tho puke araganna giya nm puke araganin. Minissunta wada ganu ubala. Lankawe ona tharam garment wala jobvthiyanawa.  Tho rata giye puke ara gannane loku polu walin dan kapan katta. Wesi,yes
Kawda mee   dinash,no
Ammata hukawanna ona oya wesige,yes
Lankawana giyapu ajanciye nombare awana,no
Anith ganige wisthara danna nama enna than ahema okege  kimba palenna,yes
pau deiyne,no
Akke koheda inne oya,no
Gament ekakata gihilla hamba karaganna gewal wala wadata pita ratawal walata noya,no
Ane pau okita koi mohhothaka hari oya aparada pala denawa kari wesiyak,yes
Minis kama ballata gihilla anunta wala kapala thamangema jathiye unta kelawan un iddi kohomada hariyanne hena gahanna ona wesa huththi,yes
Rata kana gon palakayo koti ganan walin unge sakku purawagaddi me wage asarana lankawe minissunta wada karanna karmantha hadanna bari mokada me gonnu mokada karanne,yes
Mokada yako ballo,yes
Ethanth lankawe ganiyek thawath lankawe ahinsaka manussayekwa asaran karanne...,no
Nethinam gedara babage nomber eka denna prsne visadala dennam,no
Inna rata kiyanna inna thena kiyanna pulun deyak karanna balannam,no
Lankawe genu maha sakkili ballo oyata kawuruhari pihita wei,yes
Paw,no
Moko,no
KALAKANNI HATTA OYA SAKKILI MUSLIM BALLO  DUPPAT KAMATA YANAWATAMA AT SINHAL BALLA A WALIN PRRYOJANA GANNAWA APE SINHALA HATTA TAMA APITAMA KELINNE NANGI     OYATA  JESU PIHITAI,yes
Ai yakooo me akka,yes
plz help her,no
Oya ambasiyata yanne akki.,no
Oyat a udaw karayi dinesh Malli meka dakkama parissamen inna nangi  budu saranayi oyata mat inne qatar wala,no
Loke inna jarama jathiya......paw yako......,yes
Maha kaaalakanni jathiyak...henama gahapan....ane me kenata udaw karanna kawruhri,yes
Ane pau me nangita udau karanna puluwan tharan ikmanata,no
Paw aragani ganiyakda me apema sinhala minissu nathibari kamata awama mokada ane me ahinsaka ayata mahama karannana kithak papuwak na,yes
Komatati sinhala uni sinhala unita walakapanawa jaraha ganu,yes
Plsz M eyata udau karana,no
Mama hemadama kiyana da Ada dekka.pita rata rassawata yanawanam lankawa awun Inna tenakata yanna apa kiyala.giyat lankawan kanak lagata gannat apa.a taram jarama awun.apiwama vinasa karanna inna,no
"Hi, I live in the same house where this lady lives. If she didn't like the working conditions in this house, she could tell the family and they would cancel her contract with them so she can look for a different house to work in.",no
"Anyway, we hope that she communicate with us to cancel her contract and start working elsewhere and we wish her good luck.",no
Hoda wade topita arabiyanta puka denda yanawata..ai topota lankawe job ndda anunge pukawal hodanda yanne ubala sakkilyda ..yako lankawe idagena kiyak hari hoyagena  idapa ...dan ada ada idapan,yes
homa thama apa un  thama sakkili karana weda kranna oyata pihita wei hariyanawa  an udau karanna,yes
Ai deiyane minissu mechchara napuru.. Mage sahodariya oyata monawada karanna one..,no
Pau ane udauak karannako pau ane,no
ane deiyaneee.... pau.... oya gana dines ayiya balawiii parissamin inna....,no
Oya gedarin panala Embassy yanna,no
Oya gedara inna e ganu kenage photo ekak  danna e kena kawda kiyala anith ayata dana gannath ekka..ahinsaka kamin prayojana ganna aya thama godakma inne..,no
Ane deiyane lankawe wela hodin neda ona pau ane me akkata udau karanta,no
Oyage nambare ewanna,no
Ane paw meyata udaw karanna  ajanzy karayo thirisannu un ape  rate genu wikunan kanawa eetama ape genu apema genunta kenehili kam karanawa,no
Paw,no
Kauda oyata karadara karana lankave patta paduru wesii...okige huththa allala kochchi kotanna ona.gaaniyekge vedanava notherena huththiyak,yes
Koheda rata,no
Pau deviyane me manusseyate udau karanne,no
Api aunma tamai koha giyat apita wada kapane nagi oyata dinash mali  udau karai bata wana aka jesu pihitai oyata,no
Oy a pau KO had a rata,no
Oya para ganita hana gahanava matath apu alutha hitapu gani ohomakara mama aliyatama damma napuru ganu,yes
Paw,no
Ohoma Jara genu innawa nangi,yes
Pirimi yesno eka kamareka edi eth ganu 2 enna ba ekata e thama hati,no
Nangi oyata devipihitai ape rate ganu Arabi karayanta wada jealous take care,no
Kalakanni hutthiyo,yes
"Paw, ikmanatama shanyak lebei",no
Adanna epa akka ikmamnin shanayak laba devi denesh malli,no
anee puluwan ekmanata eyage ge maru karala denna apee unma thama apita kelinne kohe giyath,no
Me akka Inna rata kiyanna issara wela dubainam api Udau Karanna lesthi,no
Oyata dines suranala udaw karaiy bayawenda aepa  mamath  me vidiyowa  dinesge pon aekata sheyar kara theruwan saranai .,no
Ane pau deyyane,no
Oya ara ganige photo dannakooo,no
Sad,no
oya  baya  wenna apa  mokdda  apu  ajnsiya  oya     koheda enne mokada  karanne apu  rata mokdad  kiya  awa  sadahn  karanan okkoam  ode,no
apama  patta wasiyo  wasigaputala tamai  apa unwa  kapanna.,yes
danda fb akata okige photo akai koha patta wasiyakdai kiyala,yes
A.Anita.hodak.wanna.apa.oyata.hodak.wai,no
Jesu pihitay sahodaree oyata ekmabata sadaranayak wenna kiyala prartana karami,no
Shit Ai mehama ape un ape untama karanne. Pau deiyana. Oyata sanasimak labei akke. Theruwan saranae oyata,no
sakkili ballo,yes
udau karanna koheda rata kiyalawat danne nene,no
Oya  a ganita bya wanna apa .oyat randu wanna oyata puluwan vidihata madamta kiyanna .atin paihin hari kiyana .oyata gedra ayagen karadarayk nha ne .oya ei ape akakuta bye inna me waga awhma munta wadaiya amarui ape un akka inna,no
Ane dukai godak math oya wage duk vinda apema lankawe Aya Tama apita Wala kapanne mats karadara una man Buddha kiyala madamta kiyala eyath bauddha ane puluwan Aya meyata udau karanna theruwansaranai,no
ane ammooooo,no
Okewa  pannapan  nagi hana  gahapan  oketa,yes
ane ammeeeee lankawe minissu,no
Pau anee lankave unma thamai lankawe ayata wala,no
Kapanne apatath ehema thamai oya hari ahinsaka akka kenek pena vidiyata oyata hari yavi akke baya mathuw inna?,no
Basava bariva rata giyama pattama Amarui jivath venda,no
oyath eakka inna lankave thirisani no denna,yes
Ape geenuda kalakanni oyata udaw lebei budu saranai paw deviyane,yes
Apa lankawa un thama apitam wala kapanna,yes
"dawiyan wahansege pehiten oyata  yahapatak labewi, jp",no
mekiwa hoyal maranna oni hora balli paw me ahisaka gahani,yes
Ow Ape Un Thamai Saththu wesa balli,yes
Kuwait koheda mama hoyanam akki mamadanna ayainnaws,no
Ape gautaha puduma jatiyak  hitanna barida  hamoma lankawe kiyala anika pita rataka   anunge duka danne nati patta wesa ganu,yes
lankawe balliyek ohoma karanawanam ethuru minissu gana kawara kathada,yes
Oyakoheda..inna.rata,no
akke dinesh dunesh nemei ban inna rata kiyanna.  oya rate inna aya udau karai,no
Nodakin thopi lankaweda  lankawe jala kanni thama  lankawe untama wala kapanne  oya kala kanni genige teli pone no eka ewandako puluwannam  mama katha karannam  mama  dubai,yes
Oya baye wanne epa dinesh oyate udau kerai ??????? ????? ????,no
Gon balli ganiyesyekuta ganiyek karana hathuru kam chick vitharak,yes
Ohoma koments dala hariyannehe sahodaraweruni lankaway Inna ajensi unta gahapalla okkoma ekathuwela.hoda padamak uganpalla.,yes
Dinesh aiyage nu eka dennam kohomada denne oya kuwait nam udau karanna ???????,no
ane pu oya koheda enna akke,no
Oya gedara unta  kiyala wena thanakata  yanna ko ithin,no
yako,yes
Kari wesa ballo. ajansi karayo. koheda me akka inna rata appa,yes
oyata wenas kan karana patta balli hama gahanna ona oki,yes
Oyata kauruth udaw nokaloth kohoma hari sri Lanka embasiyata yanna.,no
Ane pau ahinsaka kenek oyage peashnaya ekimanatama wisa dewa.budu sarani,no
yakoo,yes
Oya mona rateda inne,no
Pau ana arabi danna nate nisae a amma asarana wala enna,no
Oya koheda inna mona rtada kiyala ne kohamada api udau karanna,no
Ane deviyane puluwan kenek udau karanna godak lankawa ganu aluthen ana ayata mehama thamai salakanne matath me athdakima thiyenawa,no
Ane pau deiyane,no
pau ithin a amma,no
Nniyamai dctor weldan,no
Kari thambiya ubage ammata hukanna kiyana widiyata hitapan huththo,yes
kari balli unba ammata hukana wesi,yes
Api kiyana vediyata hitapan pakayo kari thambiya,yes
Ponna tambi ganunta tamai topi sada danne kari ponna tambiya to dana gan toge ganiwa matha ahu unot adum okkoma galawala para arinna kiyala,yes
docter apita sathutui obathumiya gana,no
ane munta giya kala galawanna barinam gewal athule mariyau thopi okun oya widiyata hospital walata enawanam beheth newei denna one pollak aran thadibanna one palayau hathikare arabiyata kunu gada gahana thope ganu parissam karanna,yes
Doctor niyamai oya.oya eka wachane innawa proud of you madam thanks because of this rules,no
Huthige puthoooo nethiya pilepadinna barinam thopith palayaw arabiyata,yes
Rajakaariyaya bada kireema. Meke wisathara hoyala polisiyata denna munwa arrest karanna.,no
Ape lankawe inna hema tambiyekwama arabiyata gihin damu.athakota ape rate apita nidahase inna puluwan.,no
ballo rata arakshawata keyanne mole pukeda thiyanne,yes
nurse gaththa video eka dannako apita me marakkalayage muna balaganna,no
kari thambiya tho mokadda huththo ka gahhanneh puke arinneh huththa e madiwata video th karanawa u hari wage,yes
ado oya hariye yes sinhl pirimiyek hari hitiynn okun iwri,yes
Respect you doctor,no
Keep it up.,no
Ponna  thambiyo  rate  nithiya  ballo  doctor  bayayak  thiyenawa  a anuwa  enna epa kiyanna  mokada a doctor  nisa  thota  mona  bayakda  janadipathi  ra kathakanna puluwan  kiyanne ura  sakkiliyo,yes
Geri thambinta nithiyak naha meke welathiyenne...apita kiyanna mekoheda.....,yes
Vary good docter.....,no
kari ponna thambiya,yes
Vediya dagalann epa. Mek kiyanne musim hema wesa ekatm.,yes
Kanna palanawa thambi pakayanlageee  .palliyata gihin puka dipan pakku .palliya apita loku naaaaa .thopi kabaya galawala waru .API kiyana thaleta Inna bainam thopi palayau marum kan nathiwa,yes
Thunkale ponnayo,yes
Hena gahapiya thambinta,yes
"Yako muna wahan anik eawa ealeye dagena Warren ganiyek da Kiyala balanna , muna arinna barinam . Nanne Nate gadayo",yes
Gong harak panditha pakku thambi tikak  munwa yawanda onai policiyata bara thanda onai,yes
Muslim weyan sakkili novi,yes
Oyawage lokutok denawanam apith narakai kiyannaepa,no
Doktea Hari kisima waradak ne,no
Kari thambiyage thiyana sadde balapallako.munta giya rata.ane huke.kari pakayala.hariyata unge ganunge kimba nalale thiyanava vage.meva dakinakota le naliyanava bolaw.,yes
Jandhipathita puka diuyan kariya....,yes
Kari huthte thambiyo thope allage walla wahapiyau burukawen meka sinhala rata,yes
Munta Beheth karanda epa.,yes
Sakkiliy ballo kata wahapiyaw hitiyata garukarapiyaw tops dostara 4nonono wada karala apu ahema ne ballo  nitiya okkotama akai,yes
Janadipati ube ganita dipn,yes
Niyamai doctor kari tambi balu kala,yes
oka galawala warella athakota iwara ne. kari ponnyage sadde. a doctor. niyamai. baya wenna apa okunta,yes
good job,no
munta anith eka galawanna kiwwa wagene muna pennane beauty queenge.,yes
peneda munge kate sadde?ane ammapa pirimiyek hitiye nadda othana?mm hitiyanam issella okata beheth karanawa.jathiwade awussa awussa para balla apita kiyanawa.,yes
Hukawana ubalatath lagadima Muslim hatha pirissaman hita palla sikuradata buka uada danna balagena,yes
ape sinhala doctor lata ka Gahanna Enna epaaa thopi maranawaaaa,yes
"Akki mate oyawe as deken balanne oni mate oyath akke dance akak keranne oni mamath asai tv ake ragepanne							",no
"Akki chil bro eke song ekakata karannako							",no
"Akke dance eka beautiful ?? Video ekata Copyright wadila ??							",no
"Adarei akki							",no
"Woow godak hoda deyak mewa balala wath anith aya hadenawa  nam ohoma karanna wenne naha							",no
"Unlike kre kud ade ??							",no
"Unlike dala tiyenne ei???							",no
"Theruwan Saranai!!!							",no
"Teruwan saranai oba wahanselata							",no
"Te..too .gahanne.heenamanaya..nisa.							",no
"Saudi sadui							",no
"sathya therum gath hati							",no
"Sadu sadu sadu ????????????tharuwan saranae  ????????????????????????							",no
"Sadu sadu sa????????????????							",no
"Puluwan nm. Me pansala gana weda satahank krnnn							",no
"Pani promote karapu time akea .. 7 news walata hamadama mea wagea positive deyak damanam .. Ratea minisu thawath lasana waiÖ							",no
"Pacha.gahapu.awnta.mahana.venna bee							",yes
"Obata godak pin me esthanaya pennuwata							",no
"Oba wahanselata uthum nirawanya labagenimata shakthiya lebethawaa ????????							",no
"Oba thidenatama mama kianne,  Ai Apita  mahana vendakalin  hithahadaganna bari. Api hithyvot Apita Puluvan.							",no
"Oba siyaluma wahanselata e uthum nirwana suwaya uda wewa !							",no
"Niymei ????????????							",no
"Minissu hamoma darma margaye gaman kirimata sith pahala wewa							",no
"Methanata sambanda venne Kohomada kalyana suwamin vahansa							",no
"Metane numbar akak nakde							",no
"Mehenin wahanse namk wenna barida methana.							",no
"Me							",no
"Me wge ayathana rata thula thawa bihi  kala yuthui.							",no
"Me place ekak thiyenne koheda please mata location denna							",no
"Me mithya drushtiya  ugannana  thanak.							",yes
"Me koheda?							",no
"Me  thana address  eka  denna.  Godak  pin. Theruwansaranai thisthunkootiyak Devi pihitai samata							",no
"Math enawa ikmaninma							",no
"Matath enna hitenwa. ??							",no
"Mata puluwannam me temple eke phone number ekak ewanna. Theruwan saranaiii hemotama							",no
"Mamath try karanawa methanata enna namuth jeeevithe siyalu dee ata harinna bariwa thawamath dagalanawa mama aniwarayen methanata pavidi wenna yanawa							",no
"mamath  asai  pawadi,ana							",no
"Maka kohada tiyanna kiyanna ko							",no
"Ma thena kohida							",no
"Lagadima yanna hitenawa							",no
"Kohomda Apita me sthabyata badenna puluwan							",no
"Koheda mema isthanayaa thiyenne							",no
"Koheda me pansalaa.thiyenna.							",no
"Woww kiyanna wachana na godak lassani ewagema godak asai me vedio ekta....????????																				",no
"Woww eka nm maru ????????????																				",no
"Vadetama hariyana sinduva ??????????maru																				",no
"Tik tok eken hoyn awe??																				",no
"Sureni wge??																				",no
"Supiriyata natanva Ayya..??																				",no
"super . puluwannam me song eka mokadda kiyannako																				",no
"Song  yes patta???																				",no
"Sinduva mkkd..??																				",no
"Sajith aiyai asanka aiyai dennama cute asanka aiyage dance superb ????																				",no
"Pre shoot cgarges kohomda.oalage pakage monvda tienne																				",no
"Pissu haduna. Mage wedding ekath aniwaren denawa																				",no
"Paharak....????????																				",no
"Oyalage weda supiri .																				",no
"Oyage vedios balapu gana mathaka nhara  mal mal  sariya  song cover eka yesnota wada baluwa aiya																				",no
"original song ekA mokakda kiyanna plz																				",no
"niyami aiye.proud to be KULIYAPITIYA.??????																				",no
"Mokkd ane mee																				",no
"Mn baluwa yesno parak vithara shook anee dance ekath. Hamoma lassanaii																				",no
"meka den 8no parak withara beluwaaaa																				",no
"meka balapu wara gana mathaka na																				",no
"Meka balala ape unge wadema gihin ara sinduwa ahana eka ????																				",no
"Meeke original song eka ewannko??																				",no
"mee song eke name eka mokkd																				",no
"Ane oyalage contact number akak denna berida .																				",no
"Ane meke full song eka ganne kohomada kochchara belewath epa wenne																				",no
"Ane me song eka mokkd kiyl dnna kenek kiynnko ??????																				",no
"Ane marama lassnaii aiyaaa?																				",no
"Ane epa wenne ne ane																				",no
"Ane eka shooy??																				",no
"Ana  lassani																				",no
"ammoooh athal appaaa.........................																				",no
"Ammooo yes.37 shoooi aneeh??????....yesno parakt wada beluwoooo																				",no
"Aiyo me asanka aiya karala thiyena hariyak??																				",no
"Aiyo Asanka aiya																				",no
"Aiye oya vedio eka record karapu cam eka mokakda?																				",no
"Aiye me couple eke video eka dannako																				",no
"ai me vdo ekata indian kasikabalnsinduwak dla?																				",no
"adoo patta asanga aiya																				",no
"Yako.ape ruchinita giyakalak							",no
"Wow mara fannyy ane							",no
Wow galapena couple yes ,no
"Vedio grpher ape saranath eke aiya knk.. good lock aiye							",no
"Sinheleyate harime lassenailu sinhele adum adela hindi sindu mun sinheleyo de sakai lajai							",yes
"Raman balla wage oya							",no
"oyala kattiyama shok ane							",no
"Niyamai. crew eka.mage yaluwage ekat meyala supiriyatama karala tibba.							",no
"Niyamai thawath videos dhanna							",no
Naween ayyath innwa ,no
Mona nathath crew eknm maru ,no
"mn dekka youtube eke lassanama vedio eka							",no
"milaata  nm pissu hi.. video eka niyamai							",no
"Me Inna ewunwa mgr wedding ekatath ewanawada???							",no
"Maru kattiya							",no
"Mara lasani a							",no
"Mama dekapu lassanama vidiyoyes k. Hemadema lassani							",no
"Loketa penuwata kamak ne..hodin enna..ohoma penwana aya ekamanin devorse wenawa..ahema wenna epa.							",no
"Lassanaiiiiiii godaaaaakkkkkk....????							",no
"Lassanai ane godak							",no
"Lassanai akki aiya							",no
"Lassanai aiya							",no
Lassana kello tika priti ?ù,no
"Lankawe sindu na neda ? shit							",no
"kohomada meyalawa contact karaganne							",no
"Kohenda bn me ape ruchinith ringan inne							",no
"kochchara beluwath epa wenna me vedio eka							",no
Kiparaknam beluwada deiyane mekaaaaa?,no
"Kattiyama??perfect ??							",no
"Kasada badina ekath dan nikamma nikan foto shoot ekak witharakma wela..							",no
"Indiyan minissu kawadawath ape sindu kiyanne na oua wage awasthawakadi ai ubalata sinhala karamayakata sinhala song dagena vinodawenna nari.. Moadai ubala							",yes
"Hotel eka mokadda kiyanna puluwanda please....							",no
"godak lassanai eaa wagema gelapenawa aththatama mama nodena thamai like demme mata hadawathata godak denuna oya dennawa suba anagathayak							",no
"Dewaka neda me							",no
"Crew ekath lassanai. Me dennath lassanai. Wish ur all the best..							",no
"Yakoo welawa yanawa danunewath naa ????????????????????love you akka and aiyahhhhhh ??????????????																																																	",no
"wow lassnai drama eke wgema programme ekat lassna kala...																																																	",no
"Wennappuweda ????																																																	",no
"Wennappuwe kollek ????????																																																	",no
"Waliyak yai wage																																																	",no
"Theruwan saranai dennatama..																																																	",no
"Siriraja siri thma asawen bln ay thwa innwda...																																																	",no
"siri raja siri aurudu siri wei																																																	",no
"Shok denna																																																	",no
"Shok ane ??																																																	",no
"sha api denna wage tmi oya 2nth  jaya wewa																																																	",no
"Sathutin inna Aiya Akka lassanai oyala budu saranai																																																	",no
"Sajitha aiyai buvi akkiwai gennannako																																																	",no
"Putha man harima adarei oyata. School yana dawas wala man durin idan balan idala thiyenawa oya diha duwatath puthatath budusaranai																																																	",no
"Piti amuwen aggala hadannepa badinnooni.. haiyuuu... bade amaruwath hadei																																																	",no
"Piti  made  ewagama  piti  bedaganna  one																																																	",no
"Oyage nona napuruda																																																	",no
"Oya denna shoi ....... mn asama katahada ayyage ???																																																	",no
yyyyyyyyyy,yes
"Ohh shitt....manamaalan??																																																	",yes
"oba depalata sathuten inna labewa harima adarei																																																	",no
"Niyamai...																																																	",no
"Niyamai  Dennama good luck																																																	",no
"Nikanma haalpiti danwata wda tkak badala damma nm rasa wadi weii malan aiya.....?? dennama gdk sthutin inna...????																																																	",no
"Nihathamani   kollek...																																																	",no
"meyala dennage twa programme ekak karanna please....																																																	",no
"Mekata dimanka ayyawat genawanm maru																																																	",no
"Mechchara lassana kollek ai me wge kenekw  bende																																																	",no
"Me dennage love story aka ona																																																	",no
"Math dahanu??																																																	",no
"Maru joduwa  niyameta match wenawa																																																	",no
"Maru dabalaaaa																																																	",no
"Manamalantama galapena manamalani??																																																	",no
"manamalanta peni unu karanna kiyaddi ammooo peni berena peni munak. lassanay adarey dennatama.																																																	",no
Ape doctata yaya wewa,no
Wesa thambi haththa maranna oni wwsa ballo,yes
janadi pathihe pakada tiyenne,yes
yako munge sadde ape maha awunta mewa penne ndda,yes
Thopita puka dena anduwakne meka ekene apita mehema une  ..,yes
Hamba pako thoge paka kapa ganna epa keriya,yes
Niyami doctor,no
kari thambi,yes
Excellent,no
Thambi ithin ammata hukoganna hadanne,yes
kari thmmbi ,yes
Pala keri thambiya thope genunge huththa  raththaranda pako,yes
Lady doctor lagata yaddith muna wahan yanna oneda heee heee,no
Hambayanta kade yana wesige puthala tho dannawa 5no8 repot karama thoge channel eka iwaraikiyala ...,yes
"Ponna thambi palayau maka bewila thopi, chandi pat ape sinhala minissunta danna apa kalakanni heththa",yes
Niyamai,no
Api jathiwadaya ausan na pako api paduwe htiyat ubal thmai apiw nathi krn hadan ekat kriyamarga gn ek jathiwadaya newe,yes
Janadipathi kauda ban...,no
kari thambinge ammata hukanna one ammage huthtata uru mas dala,yes
Api  dan  ape  rate  enna  one  mun  kiyana  padeta  nata  natada. sakkili  marila  palayau,yes
"ponna jandipathigy no thinawalu, ubama thiyagan ay ponnayagy no, apita wadak na",yes
Sicurty nadda yako. Ponna pakayo serma wes ballo,yes
thopita abaya galawala enna qwe heluwa balanna nemei Thope weda hindai ratata ada marana baye jewath wenna une.heththa.thawa enawa arinna.,yes
Ponna kapti wesigy puthala,yes
Ponna thambiya,yes
Okunuth ,yes
Hutta sinhala pakayo bahat ganna awith hitiya nadda...,yes
tope auda gabada nitiya nemei rate niteyata garu karapiyaw kari hambayo. ahema nettam topita ona vidihata inna wena ona tenakata palayaw .,yes
keari thambiyao ammata dannetha neda amma baba para thambiya,yes
Kari thambiya ththota ganita aragana karanda hodai kimba pannai kiyalada kariyo vahanna oya gada gana hithanaval valata apa sinhalayoo danna pako nithiyata vada karanpan ballo pannyoo,yes
Oluwe thiyana goniya galawapiyako wesa balla. ,yes
Tambi   hethth   thawa  respat  kathakarannath   enawa  ounta   beheth  newey   denna   ona   wwsa ballo,yes
gahala alawapiyau okun denna,yes
umbalat hena ghnwa wesige puththu ,yes
Poleiseya ko,yes
Thambiyata giya rata.,no
Great behaviour.respect you doctor,no
Dunnanam ata digaharala kana rat wenna oya ponnayata,yes
Respect you doctor,no
Wesige puthalage sadde,yes
Munge ammalata hukavanna pakkuuuu. Me kariyo maranna tiyenne,yes
Kari thambiyo..jayawewa mis,yes
Gon tambi obata sathutuida Dan,yes
Ponna thabiyo kiyna like kramu,yes
nithiyata garu karanna abaya ne kiyala pana yanne ladeta baheth aran yanawanam kisi deyak  nane ekinekata garu kara ganna eka api katath hodai,no
Ponna thambiya,yes
Balli toga saya Gala wanna topa Tata akka to nida gatta ta Muslim ganu hoda ganu sinhala wasila,yes
"Honda wade ape sinhala ewnta, hamadaama kare eka eka dewalwalata rawatilaa, sinhala jaathiye anaagathaya vinaasa karapu eka. ",no
Para hambayo thopita hena ghann one ballo,yes
Munge saddeblpnko huththa,yes
Me tambiyata kana palenn denna kawruth nadda huththo,yes
Abayai burkawai dekak?.... apith sinhala .....eth therun ganna..... ..burkawa witharai  galawanna onee..,no
Janadipathi balla,yes
